Date,Open,High,Low,Close,Adj Close,Volume
2020-05-27,0.474999,0.474999,0.474999,0.474999,0.474999,0
2020-05-28,0.474999,0.474999,0.474999,0.474999,0.474999,0
2020-05-29,0.400000,0.465000,0.395000,0.435000,0.435000,1347886
2020-06-01,0.420000,0.450000,0.390000,0.410000,0.410000,1268058
2020-06-02,0.445000,0.580000,0.435000,0.540000,0.540000,4306815
2020-06-03,0.700000,0.825000,0.660000,0.695000,0.695000,5709556
2020-06-04,0.780000,0.790000,0.660000,0.760000,0.760000,5036810
2020-06-05,0.700000,0.740000,0.650000,0.685000,0.685000,5000455
2020-06-09,0.725000,1.210000,0.690000,1.210000,1.210000,16509949
2020-06-10,1.355000,1.540000,1.300000,1.300000,1.300000,23697684
2020-06-11,1.350000,1.420000,1.100000,1.100000,1.100000,14940582
2020-06-12,0.860000,1.300000,0.850000,1.180000,1.180000,18129197
