Date,Open,High,Low,Close,Adj Close,Volume
2020-04-30,0.760000,0.950000,0.755000,0.855000,0.855000,1140919
2020-05-01,0.870000,1.070000,0.850000,1.020000,1.020000,1760320
2020-05-04,1.075000,1.200000,1.075000,1.175000,1.175000,1442210
2020-05-05,1.200000,1.250000,1.190000,1.205000,1.205000,1063160
2020-05-06,1.205000,1.205000,1.140000,1.160000,1.160000,601598
2020-05-07,1.160000,1.160000,1.100000,1.145000,1.145000,354537
2020-05-08,1.150000,1.170000,1.115000,1.140000,1.140000,492304
2020-05-11,1.180000,1.280000,1.180000,1.260000,1.260000,931406
2020-05-12,1.290000,1.390000,1.225000,1.250000,1.250000,1341618
2020-05-13,1.235000,1.235000,1.175000,1.180000,1.180000,761545
2020-05-14,1.175000,1.255000,1.140000,1.215000,1.215000,524064
2020-05-15,1.250000,1.250000,1.120000,1.135000,1.135000,803291
2020-05-18,1.200000,1.210000,1.125000,1.150000,1.150000,457417
2020-05-19,1.195000,1.200000,1.140000,1.160000,1.160000,195592
2020-05-20,1.150000,1.180000,1.145000,1.155000,1.155000,260736
2020-05-21,1.165000,1.220000,1.150000,1.150000,1.150000,451048
2020-05-22,1.160000,1.170000,1.115000,1.125000,1.125000,303503
2020-05-25,1.150000,1.210000,1.130000,1.190000,1.190000,621167
2020-05-26,1.230000,1.320000,1.205000,1.300000,1.300000,1052924
2020-05-27,1.305000,1.320000,1.240000,1.255000,1.255000,635956
2020-05-28,1.280000,1.350000,1.260000,1.300000,1.300000,497387
2020-05-29,1.330000,1.330000,1.275000,1.290000,1.290000,202242
2020-06-01,1.350000,1.665000,1.350000,1.635000,1.635000,3748022
2020-06-02,1.700000,1.990000,1.700000,1.990000,1.990000,4644883
2020-06-03,2.070000,3.020000,2.060000,3.020000,3.020000,8269058
2020-06-04,3.700000,4.000000,3.250000,3.510000,3.510000,7214568
2020-06-05,3.500000,3.500000,2.800000,3.080000,3.080000,8567715
2020-06-09,3.250000,3.300000,2.910000,2.930000,2.930000,3458658
2020-06-10,2.890000,3.030000,2.750000,2.890000,2.890000,3677239
2020-06-11,2.730000,2.770000,2.320000,2.390000,2.390000,8034312
2020-06-12,2.000000,2.270000,1.960000,2.260000,2.260000,4759320
2020-06-15,2.340000,2.640000,2.060000,2.140000,2.140000,5729187
2020-06-16,2.480000,2.800000,2.280000,2.750000,2.750000,6378119
2020-06-17,2.920000,2.930000,2.530000,2.600000,2.600000,5523784
2020-06-18,2.550000,2.750000,2.500000,2.510000,2.510000,3606420
2020-06-19,2.580000,2.640000,2.450000,2.460000,2.460000,2113113
